"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
19000756;"FIGHTING WITH MY FAMILY";"LUTANDO PELA FAMÍLIA";2019;"STEPHEN MERCHANT";"2019-03-14"
19000997;"TUNTEMATON MESTARI";"O ÚLTIMO LANCE";2018;"KLAUS HÄRÖ";"2019-03-14"
19001152;"THE MISEDUCATION OF CAMERON POST";"O MAU EXEMPLO DE CAMERON POST";2018;"DESIREE AKHAVAN";"2019-03-14"
19001176;"JESUS DE NAZARETH - EL HIJO DE DIOS";"JESUS DE NAZARÉ - O FILHO DE DEUS";2017;"RAFA LARA";"2019-03-14"
19000724;"UN TRADUCTOR";"O TRADUTOR";2018;"RODRIGO BARRIUSO";"2019-03-13"
19001021;"BORDER";"BORDER";2018;"ALI ABBASI";"2019-03-12"
19001042;"DE PERNAS PRO AR 3";"DE PERNAS PRO AR 3";2018;"JULIA SALLES DE REZENDE";"2019-03-12"
17004979;"ORGANISMO";"ORGANISMO";2017;"JEORGE MANOEL PEREIRA DA SILVA";"2019-03-11"
19000546;"LES ESTIVANTS";"A CASA DE VERANEIO";2018;"VALERIA BRUNI-TEDESCHI";"2019-03-11"
19000977;"PET SEMATARY";"CEMITÉRIO MALDITO";2019;"DENNIS WIDMYER";"2019-03-11"
19000257;"FIVE FEET APART";"A CINCO PASSOS DE VOCÊ";2019;"JUSTIN BALDONI";"2019-03-07"
19000898;"SUSPIRIA";"SUSPÍRIA - A DANÇA DO MEDO";2018;"LUCA GUADAGNINO";"2019-03-07"
19000903;"THE CHILDREN ACT";"UM ATO DE ESPERANÇA";2017;"RICHARD EYRE";"2019-03-07"
14027693;"LA FAMILLE BELIER";"A FAMILIA BELIER";2014;"ERIC LARTIGAU";"2019-03-06"
19000256;"TYLER PERRY'S MADEA FAMILY FUNERAL";"UM FUNERAL EM FAMÍLIA";2019;"TYLER PERRY";"2019-03-01"
19000657;"MI OBRA MAESTRA";"MINHA OBRA-PRIMA";2018;"GASTON DUPRAT";"2019-03-01"
19000765;"AFTER";"AFTER";2019;"JENNY GAGE";"2019-03-01"
19000797;"MID90'S";"ANOS 90";2018;"JONAH HILL";"2019-03-01"
19000904;"UGLYDOLLS";"UGLYDOLLS";2019;"KELLY ASBURY";"2019-03-01"
19000742;"VIDA EM MOVIMENTO";"VIDA EM MOVIMENTO";2019;"EDUARDO RAJABALLY";"2019-02-28"
19000915;"MEDITATION PARK";"MEDITATION PARK";2017;"MINA SHUM";"2019-02-27"
19000920;"JORGINHO GUINLE - SÓ SE VIVE UMA VEZ";"JORGINHO GUINLE - SÓ SE VIVE UMA VEZ";2018;"OTÁVIO GEMINIANI ESCOBAR";"2019-02-27"
18004680;"PESSOAS HUMANAS";"PESSOAS HUMANAS";2018;"FRANK SPANO";"2019-02-26"
19000758;"MARIA DO CARITÓ";"MARIA DO CARITÓ";2019;"JOÃO PAULO RODRIGUES VALADÃO JABUR";"2019-02-22"
19000846;"LE GRAND BAIN";"UM BANHO DE VIDA";2018;"GILLES LELLOUCHE";"2019-02-22"
15008134;"FANTASIAS SEXUAIS 2";"FANTASIAS SEXUAIS 2";2015;"JULIANO COSTA BENDAZOLI";"2019-02-21"
18004904;"AN ELEPHANT SITTING STILL";"UM ELEFANTE SENTADO QUIETO";2018;"HU BO";"2019-02-21"
19000659;"SUMMER OF 84";"VERÃO DE 84";2018;"ANOUK WHISSELL";"2019-02-21"
16001167;"JOVENS INFELIZES OU UM HOMEM QUE GRITA NÃO É UM URSO QUE DANÇA";"JOVENS INFELIZES OU UM HOMEM QUE GRITA NÃO É UM URSO QUE DANÇA";2014;"THIAGO MENDONÇA";"2019-02-19"
18004949;"SE ROKH";"3 FACES";2018;"JAFAR PANAHI";"2019-02-19"
